SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025
040,01,000,00000,00000,00000,0,A,Alabama,Alabama,5025437,5032962,5050058,5076868,5117850,5163055,5193088
162,01,000,00124,00000,00000,0,A,Abbeville city,Alabama,2355,2355,2340,2338,2351,2391,2378
162,01,000,00460,00000,00000,0,A,Adamsville city,Alabama,4406,4394,4329,4264,4219,4208,4178
162,01,000,00484,00000,00000,0,A,Addison town,Alabama,661,659,665,669,666,672,669
162,01,000,00676,00000,00000,0,A,Akron town,Alabama,229,228,228,226,231,234,236
162,01,000,00820,00000,00000,0,A,Alabaster city,Alabama,33341,33398,33732,33890,34177,34463,34748
162,01,000,00988,00000,00000,0,A,Albertville city,Alabama,22390,22407,22524,22788,23159,23522,23710
162,01,000,01132,00000,00000,0,A,Alexander City city,Alabama,14856,14833,14700,14615,14503,14498,14515
162,01,000,01228,00000,00000,0,A,Aliceville city,Alabama,2177,2169,2130,2082,2075,2044,2024
162,01,000,01396,00000,00000,0,A,Allgood town,Alabama,540,539,542,547,550,557,557
162,01,000,01660,00000,00000,0,A,Altoona town,Alabama,948,948,945,942,944,949,948
162,01,000,01708,00000,00000,0,A,Andalusia city,Alabama,8833,8837,8797,8748,8808,8786,8763
162,01,000,01756,00000,00000,0,A,Anderson town,Alabama,253,253,254,256,256,258,257
162,01,000,01852,00000,00000,0,A,Anniston city,Alabama,21553,21504,21351,21186,21163,21094,20930
162,01,000,02116,00000,00000,0,A,Arab city,Alabama,8439,8445,8486,8634,8863,8975,9061
162,01,000,02260,00000,00000,0,A,Ardmore town,Alabama,1321,1332,1371,1396,1424,1458,1485
162,01,000,02320,00000,00000,0,A,Argo city,Alabama,4397,4402,4409,4385,4387,4392,4376
162,01,000,02428,00000,00000,0,A,Ariton town,Alabama,657,656,655,654,659,658,653
162,01,000,02500,00000,00000,0,A,Arley town,Alabama,334,333,336,339,338,341,341
162,01,000,02836,00000,00000,0,A,Ashford city,Alabama,2255,2258,2267,2283,2347,2410,2470
162,01,000,02860,00000,00000,0,A,Ashland town,Alabama,1987,1983,1964,1962,1940,1949,1952
162,01,000,02908,00000,00000,0,A,Ashville city,Alabama,2353,2359,2380,2375,2378,2410,2412
162,01,000,02956,00000,00000,0,A,Athens city,Alabama,25419,25719,27058,28651,30955,32627,34209
162,01,000,03004,00000,00000,0,A,Atmore city,Alabama,8392,8375,8345,8326,8341,8329,8360
162,01,000,03028,00000,00000,0,A,Attalla city,Alabama,5843,5841,5765,5811,5767,5779,5807
162,01,000,03076,00000,00000,0,A,Auburn city,Alabama,76639,77119,79240,80526,82393,83813,85113
162,01,000,03220,00000,00000,0,A,Autaugaville town,Alabama,784,785,783,791,801,812,817
162,01,000,03364,00000,00000,0,A,Avon town,Alabama,463,465,466,473,471,471,471
162,01,000,03556,00000,00000,0,A,Babbie town,Alabama,619,617,619,621,628,630,630
162,01,000,03676,00000,00000,0,A,Baileyton town,Alabama,645,648,660,671,681,688,701
162,01,000,03724,00000,00000,0,A,Bakerhill town,Alabama,215,215,212,210,209,206,206
162,01,000,03940,00000,00000,0,A,Banks town,Alabama,155,155,155,156,159,160,163
162,01,000,04660,00000,00000,0,A,Bay Minette city,Alabama,8144,8167,8269,8327,8439,8562,8555
162,01,000,04684,00000,00000,0,A,Bayou La Batre city,Alabama,2155,2152,2137,2115,2104,2093,2068
162,01,000,04852,00000,00000,0,A,Bear Creek town,Alabama,1038,1037,1037,1042,1045,1053,1054
162,01,000,04900,00000,00000,0,A,Beatrice town,Alabama,205,204,203,201,201,197,194
162,01,000,04948,00000,00000,0,A,Beaverton town,Alabama,184,184,180,181,180,180,181
162,01,000,05164,00000,00000,0,A,Belk town,Alabama,187,187,186,186,188,189,188
162,01,000,05692,00000,00000,0,A,Benton town,Alabama,41,41,39,38,38,37,36
162,01,000,05812,00000,00000,0,A,Berlin town,Alabama,502,505,513,521,528,533,541
162,01,000,05932,00000,00000,0,A,Berry town,Alabama,1210,1209,1198,1196,1194,1193,1192
162,01,000,05980,00000,00000,0,A,Bessemer city,Alabama,25989,25936,25523,25150,24950,25080,24984
162,01,000,06460,00000,00000,0,A,Billingsley town,Alabama,130,130,129,128,129,129,129
162,01,000,07000,00000,00000,0,A,Birmingham city,Alabama,200486,200226,197660,196972,197001,196789,195893
162,01,000,07120,00000,00000,0,A,Black town,Alabama,221,221,224,227,231,236,241
162,01,000,07456,00000,00000,0,A,Blountsville town,Alabama,1829,1826,1827,1823,1821,1825,1816
162,01,000,07672,00000,00000,0,A,Blue Springs town,Alabama,82,82,81,81,80,79,78
162,01,000,07912,00000,00000,0,A,Boaz city,Alabama,10103,10115,10174,10319,10427,10557,10619
162,01,000,08104,00000,00000,0,A,Boligee town,Alabama,301,299,294,287,283,273,271
162,01,000,08248,00000,00000,0,A,Bon Air town,Alabama,171,171,169,169,169,168,167
162,01,000,09016,00000,00000,0,A,Brantley town,Alabama,825,822,814,808,809,804,804
162,01,000,09136,00000,00000,0,A,Brent city,Alabama,4499,4421,4362,4324,4193,4396,4414
162,01,000,09208,00000,00000,0,A,Brewton city,Alabama,5272,5256,5209,5186,5161,5139,5113
162,01,000,09328,00000,00000,0,A,Bridgeport city,Alabama,2264,2261,2258,2250,2264,2272,2275
162,01,000,09400,00000,00000,0,A,Brighton city,Alabama,2340,2335,2306,2278,2261,2260,2249
162,01,000,09424,00000,00000,0,A,Brilliant town,Alabama,831,829,830,833,835,838,838
162,01,000,09736,00000,00000,0,A,Brookside town,Alabama,1247,1244,1230,1215,1205,1366,1433
162,01,000,09808,00000,00000,0,A,Brookwood city,Alabama,2498,2494,2475,2461,2453,2462,2467
162,01,000,10240,00000,00000,0,A,Brundidge city,Alabama,2079,2074,2057,2044,2047,2045,2061
162,01,000,11032,00000,00000,0,A,Butler town,Alabama,1866,1858,1828,1797,1764,1725,1698
162,01,000,11416,00000,00000,0,A,Calera city,Alabama,16483,16627,17402,17893,18268,18546,18992
162,01,000,11512,00000,00000,0,A,Camden city,Alabama,1857,1844,1799,1742,1698,1700,1646
162,01,000,11680,00000,00000,0,A,Camp Hill town,Alabama,1004,1002,995,984,976,971,967
162,01,000,12016,00000,00000,0,A,Carbon Hill city,Alabama,1767,1762,1732,1730,1736,1729,1723
162,01,000,12040,00000,00000,0,A,Cardiff town,Alabama,57,57,56,58,57,57,57
162,01,000,12160,00000,00000,0,A,Carolina town,Alabama,286,285,288,288,291,292,294
162,01,000,12304,00000,00000,0,A,Carrollton town,Alabama,1021,1016,1004,987,980,970,966
162,01,000,12496,00000,00000,0,A,Castleberry town,Alabama,483,481,469,464,459,453,447
162,01,000,12760,00000,00000,0,A,Cedar Bluff town,Alabama,1832,1833,1850,1868,1886,1921,1948
162,01,000,13264,00000,00000,0,A,Center Point city,Alabama,16354,16319,16086,15848,15695,15642,15538
162,01,000,13648,00000,00000,0,A,Centre city,Alabama,3594,3598,3593,3635,3776,3832,3912
162,01,000,13672,00000,00000,0,A,Centreville city,Alabama,2795,2788,2793,2727,2717,2725,2709
162,01,000,14008,00000,00000,0,A,Chatom town,Alabama,1095,1093,1084,1076,1063,1056,1054
162,01,000,14104,00000,00000,0,A,Chelsea city,Alabama,15126,15247,15749,16249,16828,17287,17716
162,01,000,14152,00000,00000,0,A,Cherokee town,Alabama,972,972,969,966,967,974,975
162,01,000,14202,00000,00000,0,A,Cherokee Ridge town,Alabama,325,325,325,328,331,334,335
162,01,000,14392,00000,00000,0,A,Chickasaw city,Alabama,6468,6455,6402,6321,6291,6248,6166
162,01,000,14464,00000,00000,0,A,Childersburg city,Alabama,4745,4738,4677,4636,4626,4607,4571
162,01,000,15064,00000,00000,0,A,Citronelle city,Alabama,3942,3937,3921,3901,3908,3926,3897
162,01,000,15136,00000,00000,0,A,Clanton city,Alabama,8738,8742,8772,8932,9121,9248,9289
162,01,000,15256,00000,00000,0,A,Clay city,Alabama,10291,10313,10298,10286,10224,10249,10198
162,01,000,15304,00000,00000,0,A,Clayhatchee town,Alabama,472,471,474,476,481,482,483
162,01,000,15376,00000,00000,0,A,Clayton city,Alabama,2267,2261,2251,2231,2224,2207,2195
162,01,000,15472,00000,00000,0,A,Cleveland town,Alabama,1239,1237,1236,1244,1249,1256,1262
162,01,000,15640,00000,00000,0,A,Clio city,Alabama,1212,1212,1208,1204,1205,1199,1202
162,01,000,16000,00000,00000,0,A,Coaling city,Alabama,2039,2034,2015,1999,1990,1999,2003
162,01,000,16240,00000,00000,0,A,Coffee Springs town,Alabama,204,204,204,206,209,212,214
162,01,000,16264,00000,00000,0,A,Coffeeville town,Alabama,259,258,256,253,251,250,249
162,01,000,16312,00000,00000,0,A,Coker town,Alabama,898,896,890,884,879,883,883
162,01,000,16600,00000,00000,0,A,Collinsville city,Alabama,2067,2066,2048,2038,2063,2091,2121
162,01,000,16684,00000,00000,0,A,Colony town,Alabama,264,264,269,272,275,277,281
162,01,000,16744,00000,00000,0,A,Columbia town,Alabama,695,696,697,704,708,716,720
162,01,000,16768,00000,00000,0,A,Columbiana city,Alabama,4473,4537,4681,4721,4810,4911,5106
162,01,000,17176,00000,00000,0,A,Coosada town,Alabama,1210,1211,1230,1237,1255,1290,1315
162,01,000,17368,00000,00000,0,A,Cordova town,Alabama,1740,1733,1703,1687,1683,1684,1679
162,01,000,17824,00000,00000,0,A,Cottonwood town,Alabama,1058,1057,1057,1062,1095,1099,1104
162,01,000,17968,00000,00000,0,A,County Line town,Alabama,324,324,321,325,329,331,332
162,01,000,18040,00000,00000,0,A,Courtland town,Alabama,579,581,580,582,588,592,594
162,01,000,18088,00000,00000,0,A,Cowarts town,Alabama,1932,1937,1965,1984,2002,2043,2064
162,01,000,18304,00000,00000,0,A,Creola town,Alabama,1936,1933,1933,1937,1954,1968,1963
162,01,000,18856,00000,00000,0,A,Crossville town,Alabama,1830,1829,1816,1827,1829,1836,1851
162,01,000,18952,00000,00000,0,A,Cuba town,Alabama,304,302,298,291,288,281,274
162,01,000,18976,00000,00000,0,A,Cullman city,Alabama,18339,18469,18868,19264,19914,20326,20799
162,01,000,19216,00000,00000,0,A,Cusseta town,Alabama,153,152,154,152,154,156,155
162,01,000,19336,00000,00000,0,A,Dadeville city,Alabama,3089,3082,3029,2983,2958,2941,2920
162,01,000,19360,00000,00000,0,A,Daleville city,Alabama,4863,4857,4873,4885,4929,4973,4971
162,01,000,19648,00000,00000,0,A,Daphne city,Alabama,27546,27766,28817,29750,30469,30832,31396
162,01,000,19744,00000,00000,0,A,Dauphin Island town,Alabama,1774,1784,1814,1838,1890,1921,1929
